full_team_picks,team_picks,full_opponent_picks,opponent_picks,picked_hero,win,match_id,start_time
"Alchemist,Abaddon,Windranger,Kunkka,Wraith King","Alchemist,Abaddon,Windranger,Kunkka","Crystal Maiden,Lina,Anti-Mage,Timbersaw,Mirana","Crystal Maiden,Lina,Anti-Mage,Timbersaw",Wraith King,0,8424220711,1755626584
"Drow Ranger,Wraith King,Dawnbreaker,Lion,Sand King",Drow Ranger,"Lina,Witch Doctor,Anti-Mage,Winter Wyvern,Slark",,Wraith King,0,8424290097,1755629978
"Juggernaut,Legion Commander,Lina,Silencer,Zeus",Juggernaut,"Shadow Fiend,Sniper,Sand King,Gyrocopter,Nature's Prophet",,Legion Commander,1,8425666660,1755717003
"Pudge,Io,Keeper of the Light,Marci,Witch Doctor,Wraith King","Io,Keeper of the Light,Marci,Witch Doctor","Void Spirit,Terrorblade,Necrophos,Lion,Muerta","Void Spirit,Terrorblade,Necrophos,Lion",Wraith King,1,8425723781,1755719878
"Ogre Magi,Wraith King,Phantom Lancer,Phantom Assassin,Viper",Ogre Magi,"Alchemist,Ancient Apparition,Anti-Mage,Slark,Earthshaker",,Wraith King,0,8426152075,1755758047
"Witch Doctor,Centaur Warrunner,Mirana,Sniper,Spectre","Witch Doctor,Centaur Warrunner,Mirana,Sniper","Dawnbreaker,Lion,Techies,Juggernaut,Zeus","Dawnbreaker,Lion,Techies,Juggernaut",Spectre,1,8426198521,1755761928
"Pudge,Sniper,Enchantress,Viper,Abaddon,Wraith King","Pudge,Enchantress,Viper,Abaddon","Vengeful Spirit,Primal Beast,Razor,Phantom Lancer,Ogre Magi","Vengeful Spirit,Primal Beast,Razor,Phantom Lancer",Wraith King,1,8426313198,1755769962
"Pudge,Wraith King,Ancient Apparition,Razor,Rubick",Pudge,"Tidehunter,Zeus,Hoodwink,Drow Ranger,Tinker",,Wraith King,1,8426369602,1755773338
"Slark,Invoker,Legion Commander,Disruptor,Wraith King","Slark,Invoker,Legion Commander,Disruptor","Windranger,Spectre,Oracle,Huskar,Storm Spirit","Windranger,Spectre,Oracle,Huskar",Wraith King,1,8426420226,1755776077
"Ancient Apparition,Drow Ranger,Lifestealer,Wraith King,Faceless Void","Ancient Apparition,Drow Ranger,Lifestealer","Phantom Lancer,Spirit Breaker,Pudge,Gyrocopter,Sniper","Phantom Lancer,Spirit Breaker",Wraith King,0,8426650135,1755785793
"Spectre,Omniknight,Vengeful Spirit,Crystal Maiden,Phoenix",,"Invoker,Huskar,Lina,Monkey King,Axe,Juggernaut",,Spectre,1,8426712837,1755788194
"Snapfire,Legion Commander,Wraith King,Outworld Destroyer,Tusk,Winter Wyvern",Legion Commander,"Necrophos,Ogre Magi,Elder Titan,Axe,Sniper","Necrophos,Ogre Magi",Wraith King,0,8426832283,1755793047
"Abaddon,Lion,Batrider,Wraith King,Silencer","Abaddon,Lion,Batrider","Spirit Breaker,Zeus,Ursa,Legion Commander,Crystal Maiden","Spirit Breaker,Zeus",Wraith King,0,8426942899,1755798075
"Alchemist,Viper,Crystal Maiden,Death Prophet,Wraith King","Alchemist,Viper,Crystal Maiden,Death Prophet","Lion,Necrophos,Phantom Assassin,Clinkz,Nyx Assassin","Lion,Necrophos,Phantom Assassin,Clinkz",Wraith King,1,8427031201,1755802245
"Invoker,Abaddon,Shadow Demon,Sniper,Silencer","Invoker,Abaddon,Shadow Demon,Sniper","Tinker,Windranger,Slark,Nature's Prophet,Pugna","Tinker,Windranger,Slark,Nature's Prophet",Silencer,0,8427609175,1755849444
"Razor,Wraith King,Shadow Shaman,Puck,Slardar",Razor,"Naga Siren,Nature's Prophet,Sniper,Phantom Lancer,Ogre Magi",,Wraith King,1,8428065061,1755872744
"Hoodwink,Pudge,Wraith King,Earthshaker,Muerta","Hoodwink,Pudge","Monkey King,Invoker,Tinker,Juggernaut,Ogre Magi","Monkey King,Invoker",Wraith King,1,8428146528,1755875705
"Wraith King,Lion,Luna,Pudge,Undying,Necrophos",,"Marci,Ogre Magi,Windranger,Abaddon,Drow Ranger,Puck",,Wraith King,1,8428248678,1755879599
"Lich,Wraith King,Legion Commander,Zeus,Rubick",Lich,"Pudge,Sniper,Earthshaker,Pugna,Tidehunter,Luna",,Wraith King,1,8428339506,1755883344
"Ogre Magi,Sniper,Snapfire,Bounty Hunter,Wraith King","Ogre Magi,Sniper,Snapfire,Bounty Hunter","Phantom Assassin,Kunkka,Marci,Pudge,Crystal Maiden","Phantom Assassin,Kunkka,Marci,Pudge",Wraith King,1,8428405155,1755886185
"Pudge,Sniper,Tidehunter,Ogre Magi,Wraith King","Pudge,Sniper,Tidehunter,Ogre Magi","Zeus,Marci,Jakiro,Chaos Knight,Drow Ranger","Zeus,Marci,Jakiro,Chaos Knight",Wraith King,1,8428468122,1755889029
"Huskar,Wraith King,Shadow Fiend,Doom",Huskar,"Hoodwink,Silencer,Faceless Void,Visage,Abaddon",,Wraith King,1,8428519194,1755891385
"Pudge,Skywrath Mage,Legion Commander,Jakiro,Wraith King","Pudge,Skywrath Mage,Legion Commander,Jakiro","Invoker,Windranger,Silencer,Naga Siren,Storm Spirit","Invoker,Windranger,Silencer,Naga Siren",Wraith King,1,8428598202,1755895400
"Pudge,Wraith King,Visage,Lion,Necrophos",Pudge,"Hoodwink,Alchemist,Timbersaw,Queen of Pain,Drow Ranger",,Wraith King,0,8428681741,1755900796
"Pudge,Dawnbreaker,Wraith King,Grimstroke,Tinker","Pudge,Dawnbreaker","Beastmaster,Void Spirit,Shadow Fiend,Windranger,Queen of Pain,Anti-Mage","Beastmaster,Void Spirit",Wraith King,1,8428711594,1755903091
"Warlock,Queen of Pain,Witch Doctor,Legion Commander,Anti-Mage","Warlock,Queen of Pain,Witch Doctor","Wraith King,Pudge,Techies,Phantom Lancer,Slark","Wraith King,Pudge",Legion Commander,0,8428743735,1755905951
"Vengeful Spirit,Grimstroke,Juggernaut,Sniper,Axe",,"Pugna,Spirit Breaker,Jakiro,Kez,Arc Warden",,Vengeful Spirit,0,8429171592,1755938235
"Skywrath Mage,Wraith King,Necrophos,Puck",Skywrath Mage,"Riki,Queen of Pain,Doom,Shadow Fiend,Lion",,Wraith King,0,8429514553,1755954785
"Lich,Wraith King,Necrophos,Ogre Magi,Nyx Assassin",Lich,"Sniper,Marci,Magnus,Keeper of the Light,Treant Protector",,Wraith King,1,8429781904,1755964415
"Shadow Shaman,Pudge,Spirit Breaker,Rubick,Zeus,Wraith King","Pudge,Spirit Breaker,Rubick,Zeus","Warlock,Winter Wyvern,Weaver,Dragon Knight,Slark","Warlock,Winter Wyvern,Weaver,Dragon Knight",Wraith King,0,8429867535,1755967736
"Pudge,Wraith King,Sniper,Witch Doctor,Faceless Void,Queen of Pain",Pudge,"Lina,Nature's Prophet,Windranger,Crystal Maiden,Silencer",,Wraith King,1,8429977034,1755972300
"Silencer,Vengeful Spirit,Axe,Skywrath Mage,Faceless Void",,"Pudge,Dazzle,Elder Titan,Snapfire,Queen of Pain",,Silencer,1,8430146032,1755979910
"Pudge,Warlock,Legion Commander,Silencer,Weaver,Wraith King","Warlock,Legion Commander,Silencer,Weaver","Shadow Fiend,Ursa,Snapfire,Lion,Void Spirit","Shadow Fiend,Ursa,Snapfire,Lion",Wraith King,1,8430226643,1755984195
"Abaddon,Windranger,Zeus,Wraith King,Kunkka","Abaddon,Windranger,Zeus","Templar Assassin,Snapfire,Axe,Invoker,Dazzle","Templar Assassin,Snapfire",Wraith King,0,8430842763,1756026899
"Windranger,Dawnbreaker,Lina,Wraith King,Treant Protector","Windranger,Dawnbreaker,Lina","Spectre,Rubick,Silencer,Legion Commander,Puck","Spectre,Rubick",Wraith King,1,8430888268,1756029096
"Marci,Invoker,Monkey King,Vengeful Spirit,Mirana","Marci,Invoker,Monkey King","Bounty Hunter,Wraith King,Phantom Assassin,Shadow Demon,Rubick,Ogre Magi",Bounty Hunter,Vengeful Spirit,0,8431431090,1756049885
"Lina,Tidehunter,Lich,Wraith King,Sniper","Lina,Tidehunter,Lich","Crystal Maiden,Nature's Prophet,Juggernaut,Monkey King,Faceless Void","Crystal Maiden,Nature's Prophet",Wraith King,1,8431508890,1756052872
"Pudge,Enchantress,Wraith King,Crystal Maiden,Templar Assassin,Zeus",Enchantress,"Ancient Apparition,Spirit Breaker,Tidehunter,Luna,Invoker","Ancient Apparition,Spirit Breaker",Wraith King,1,8431774382,1756064411
"Bane,Medusa,Lion,Pugna,Lina",Bane,"Pudge,Windranger,Shadow Fiend,Magnus,Ember Spirit",,Medusa,0,8431815369,1756066405
"Sniper,Dawnbreaker,Lich,Silencer,Medusa","Sniper,Dawnbreaker,Lich","Crystal Maiden,Wraith King,Shadow Shaman,Drow Ranger,Necrophos","Crystal Maiden,Wraith King",Silencer,1,8431872535,1756069476
"Ogre Magi,Disruptor,Omniknight,Medusa,Riki","Ogre Magi,Disruptor,Omniknight","Queen of Pain,Pudge,Phantom Assassin,Vengeful Spirit,Dawnbreaker","Queen of Pain,Pudge",Medusa,1,8432450653,1756117764
"Nature's Prophet,Legion Commander,Wraith King,Spirit Breaker","Nature's Prophet,Legion Commander","Huskar,Zeus,Queen of Pain,Jakiro","Huskar,Zeus",Wraith King,1,8432523637,1756121644
"Pudge,Sniper,Vengeful Spirit,Snapfire,Phantom Lancer",Pudge,"Sand King,Wraith King,Legion Commander,Meepo,Warlock",,Sniper,0,8432747117,1756130414
"Techies,Snapfire,Necrophos,Muerta,Phantom Lancer","Techies,Snapfire,Necrophos,Muerta","Magnus,Huskar,Ogre Magi,Puck","Magnus,Huskar,Ogre Magi,Puck",Phantom Lancer,0,8433036407,1756141650
"Ringmaster,Wraith King,Omniknight,Necrophos,Queen of Pain",Ringmaster,"Lina,Juggernaut,Zeus,Shadow Shaman,Legion Commander,Clinkz",,Wraith King,0,8433077428,1756143459
"Faceless Void,Ogre Magi,Weaver,Death Prophet,Necrophos","Faceless Void,Ogre Magi","Enchantress,Anti-Mage,Void Spirit,Undying,Lion","Enchantress,Anti-Mage",Weaver,1,8433232869,1756150860
"Dark Willow,Lion,Storm Spirit,Wraith King","Dark Willow,Lion,Storm Spirit","Sniper,Windranger,Shadow Shaman,Bounty Hunter,Kunkka","Sniper,Windranger",Wraith King,0,8433306429,1756154833
"Sniper,Shadow Shaman,Necrophos,Crystal Maiden,Drow Ranger,Medusa","Shadow Shaman,Necrophos,Crystal Maiden,Drow Ranger","Sven,Dazzle,Razor,Ancient Apparition,Mars,Nature's Prophet","Sven,Dazzle,Ancient Apparition",Medusa,1,8434210194,1756218306
"Marci,Pudge,Dazzle,Ursa,Shadow Demon,Wraith King","Marci,Dazzle,Ursa,Shadow Demon","Jakiro,Witch Doctor,Spectre,Clockwerk,Shadow Fiend","Jakiro,Witch Doctor,Spectre,Clockwerk",Wraith King,1,8434423285,1756226682
"Lich,Lion,Wraith King,Earthshaker,Kunkka","Lich,Lion","Axe,Crystal Maiden,Witch Doctor,Anti-Mage,Nature's Prophet","Axe,Crystal Maiden",Wraith King,0,8434697639,1756239800
"Techies,Legion Commander,Disruptor,Outworld Destroyer,Queen of Pain",Techies,"Pudge,Shadow Shaman,Witch Doctor,Sven,Rubick",,Legion Commander,0,8436001202,1756321059
"Techies,Skywrath Mage,Huskar,Wraith King,Razor","Techies,Skywrath Mage,Huskar","Lich,Weaver,Drow Ranger,Shadow Fiend,Necrophos","Lich,Weaver",Wraith King,0,8436058929,1756323914
"Sand King,Disruptor,Wraith King,Medusa,Legion Commander","Sand King,Disruptor,Wraith King","Earth Spirit,Enchantress,Slark,Warlock,Mars","Earth Spirit,Enchantress",Medusa,0,8437375861,1756406915
"Lich,Wraith King,Treant Protector,Luna,Centaur Warrunner",Lich,"Techies,Alchemist,Jakiro,Sniper,Weaver,Tidehunter",,Wraith King,1,8438839049,1756495995
"Tidehunter,Crystal Maiden,Wraith King,Batrider,Grimstroke","Tidehunter,Crystal Maiden","Spirit Breaker,Tinker,Morphling,Queen of Pain,Bloodseeker","Spirit Breaker,Tinker",Wraith King,1,8439492005,1756543977
"Pudge,Queen of Pain,Juggernaut,Pugna,Lion,Abaddon",Queen of Pain,"Ursa,Tinker,Tusk,Legion Commander,Drow Ranger","Ursa,Tinker",Juggernaut,1,8439542320,1756546783
"Marci,Wraith King,Riki,Invoker,Lina",Marci,"Gyrocopter,Axe,Dazzle,Troll Warlord,Shadow Fiend",,Wraith King,0,8439609170,1756550448
"Witch Doctor,Phantom Lancer,Lion,Wraith King,Silencer","Witch Doctor,Phantom Lancer,Lion","Underlord,Windranger,Templar Assassin,Crystal Maiden,Drow Ranger","Underlord,Windranger",Wraith King,1,8439810627,1756559537
"Shadow Shaman,Wraith King,Necrophos,Zeus,Dawnbreaker",Shadow Shaman,"Pudge,Dark Willow,Tiny,Arc Warden,Monkey King,Viper",,Wraith King,1,8439973488,1756565448
"Nature's Prophet,Clockwerk,Jakiro,Juggernaut,Queen of Pain","Nature's Prophet,Clockwerk,Jakiro","Pudge,Pugna,Silencer,Razor,Void Spirit","Pudge,Pugna",Juggernaut,0,8440223652,1756575202
"Pudge,Crystal Maiden,Lion,Wraith King,Viper","Pudge,Crystal Maiden,Lion","Slardar,Necrophos,Witch Doctor,Anti-Mage,Dawnbreaker","Slardar,Necrophos",Wraith King,1,8440288282,1756577952
"Witch Doctor,Clockwerk,Sniper,Anti-Mage,Dawnbreaker","Witch Doctor,Clockwerk,Sniper","Lifestealer,Hoodwink,Centaur Warrunner,Arc Warden,Faceless Void","Lifestealer,Hoodwink",Anti-Mage,1,8440440770,1756585137
"Pudge,Crystal Maiden,Wraith King,Pugna,Dragon Knight","Pudge,Crystal Maiden","Spectre,Muerta,Lich,Outworld Destroyer,Bounty Hunter","Spectre,Muerta",Wraith King,0,8440498379,1756588242
"Invoker,Crystal Maiden,Storm Spirit,Wraith King,Witch Doctor","Invoker,Crystal Maiden,Storm Spirit","Pudge,Shadow Fiend,Sven,Marci,Nyx Assassin","Pudge,Shadow Fiend",Wraith King,0,8441009636,1756627024
"Lich,Clinkz,Vengeful Spirit,Night Stalker,Timbersaw",Lich,"Phoenix,Undying,Alchemist,Ember Spirit",,Clinkz,1,8441207742,1756637053
"Shadow Fiend,Axe,Marci,Anti-Mage,Faceless Void","Shadow Fiend,Axe,Marci,Anti-Mage","Shadow Shaman,Phantom Assassin,Techies,Bounty Hunter,Winter Wyvern","Shadow Shaman,Phantom Assassin,Techies,Bounty Hunter",Faceless Void,1,8441265858,1756639724
"Warlock,Wraith King,Ogre Magi,Techies,Mars",Warlock,"Axe,Tinker,Lich,Juggernaut,Silencer",,Wraith King,0,8441616163,1756652839
"Witch Doctor,Wraith King,Magnus,Luna,Winter Wyvern",Witch Doctor,"Alchemist,Axe,Lich,Queen of Pain,Death Prophet",,Wraith King,0,8441684148,1756655474
"Magnus,Lich,Kunkka,Clinkz,Centaur Warrunner","Magnus,Lich,Kunkka","Warlock,Shadow Shaman,Legion Commander,Phantom Assassin,Queen of Pain","Warlock,Shadow Shaman",Clinkz,0,8441798307,1756660185
"Lion,Witch Doctor,Slardar,Medusa,Ogre Magi","Lion,Witch Doctor,Slardar","Treant Protector,Bounty Hunter,Templar Assassin,Dawnbreaker,Windranger","Treant Protector,Bounty Hunter",Medusa,1,8441885536,1756664019
"Lich,Winter Wyvern,Sand King,Chaos Knight,Sniper","Lich,Winter Wyvern,Sand King","Rubick,Oracle,Mars,Lifestealer,Huskar","Rubick,Oracle",Chaos Knight,1,8441980480,1756668513
"Pudge,Rubick,Medusa,Disruptor,Primal Beast","Pudge,Rubick","Dawnbreaker,Batrider,Pangolier,Lion","Dawnbreaker,Batrider",Medusa,1,8443180419,1756746983
"Skywrath Mage,Winter Wyvern,Pudge,Ursa,Wraith King","Skywrath Mage,Winter Wyvern,Pudge,Ursa","Shadow Shaman,Juggernaut,Invoker,Beastmaster,Huskar","Shadow Shaman,Juggernaut,Invoker,Beastmaster",Wraith King,1,8444331448,1756827641
"Shadow Fiend,Arc Warden,Razor,Wraith King","Shadow Fiend,Arc Warden,Razor","Necrophos,Sniper,Slardar,Queen of Pain,Zeus","Necrophos,Sniper",Wraith King,0,8444568215,1756838586
"Bounty Hunter,Techies,Silencer,Chaos Knight","Bounty Hunter,Techies","Batrider,Tusk,Lion,Undying,Sven","Batrider,Tusk",Silencer,1,8444651895,1756843127
"Clinkz,Dawnbreaker,Shadow Shaman,Pudge",,"Shadow Demon,Pangolier,Undying,Crystal Maiden,Anti-Mage",,Clinkz,1,8445602679,1756915069
"Queen of Pain,Axe,Winter Wyvern,Anti-Mage,Void Spirit","Queen of Pain,Axe,Winter Wyvern","Pudge,Monkey King,Witch Doctor,Juggernaut,Bloodseeker,Viper",Monkey King,Anti-Mage,1,8445683245,1756918724
"Weaver,Witch Doctor,Riki,Anti-Mage,Marci","Weaver,Witch Doctor,Riki","Kunkka,Jakiro,Venomancer,Magnus,Bloodseeker","Kunkka,Jakiro",Anti-Mage,1,8445831330,1756925991
"Ancient Apparition,Medusa,Undying,Templar Assassin,Muerta",Ancient Apparition,"Faceless Void,Bristleback,Weaver,Crystal Maiden,Centaur Warrunner,Arc Warden",,Medusa,1,8447035486,1757012786
"Undying,Drow Ranger,Kez,Wraith King,Outworld Destroyer","Undying,Drow Ranger,Kez","Invoker,Phantom Assassin,Bounty Hunter,Earthshaker,Alchemist","Invoker,Phantom Assassin",Wraith King,0,8448215511,1757093646
"Disruptor,Medusa,Shadow Shaman,Death Prophet,Ogre Magi",Disruptor,"Sniper,Magnus,Muerta,Kunkka,Anti-Mage",,Medusa,1,8448338037,1757099131
"Pudge,Nature's Prophet,Medusa,Slark,Weaver","Pudge,Nature's Prophet","Ursa,Anti-Mage,Bristleback,Shadow Fiend,Wraith King,Broodmother","Ursa,Anti-Mage",Medusa,0,8448866473,1757139478
"Invoker,Phantom Assassin,Drow Ranger,Dawnbreaker,Queen of Pain","Invoker,Phantom Assassin,Drow Ranger","Windranger,Skywrath Mage,Phantom Lancer,Tinker,Juggernaut","Windranger,Skywrath Mage",Dawnbreaker,0,8449123105,1757154783
"Witch Doctor,Vengeful Spirit,Mars,Storm Spirit,Templar Assassin",Witch Doctor,"Ancient Apparition,Visage,Leshrac,Bristleback,Shadow Fiend",,Vengeful Spirit,0,8449180658,1757157563
"Omniknight,Witch Doctor,Lich,Outworld Destroyer,Clinkz,Spirit Breaker","Omniknight,Lich,Outworld Destroyer","Axe,Lion,Sniper,Dazzle,Silencer,Night Stalker","Axe,Sniper,Dazzle",Clinkz,1,8449355127,1757164488
"Lina,Warlock,Snapfire,Wraith King,Outworld Destroyer","Lina,Warlock,Snapfire","Nature's Prophet,Axe,Weaver,Lion,Anti-Mage","Nature's Prophet,Axe",Wraith King,0,8449432306,1757167323
"Earthshaker,Legion Commander,Phoenix,Slark,Rubick",Earthshaker,"Zeus,Techies,Undying,Lifestealer,Anti-Mage",,Legion Commander,0,8449705098,1757177403
"Dragon Knight,Hoodwink,Winter Wyvern,Medusa,Lina","Dragon Knight,Hoodwink,Winter Wyvern","Lifestealer,Invoker,Pudge,Luna,Ember Spirit","Lifestealer,Invoker",Medusa,1,8450490014,1757226955
"Jakiro,Sniper,Pudge,Anti-Mage,Spirit Breaker","Jakiro,Sniper,Pudge","Ogre Magi,Lion,Phantom Assassin,Huskar,Lina","Ogre Magi,Lion",Anti-Mage,1,8450547418,1757230111
"Shadow Shaman,Windranger,Axe,Medusa,Batrider","Shadow Shaman,Windranger,Axe","Witch Doctor,Lion,Pudge,Slardar,Disruptor,Anti-Mage",Witch Doctor,Medusa,0,8450614450,1757233555
"Zeus,Crystal Maiden,Lifestealer,Nyx Assassin,Pangolier","Zeus,Crystal Maiden,Lifestealer","Pudge,Invoker,Axe,Shadow Shaman,Medusa,Skywrath Mage",Invoker,Nyx Assassin,1,8450780762,1757241595
"Magnus,Warlock,Medusa,Legion Commander,Windranger","Magnus,Warlock","Pudge,Beastmaster,Silencer,Invoker,Venomancer,Anti-Mage",Beastmaster,Medusa,0,8450909607,1757246881
"Silencer,Earthshaker,Spirit Breaker,Medusa,Shadow Fiend","Silencer,Earthshaker,Spirit Breaker","Pudge,Queen of Pain,Slardar,Visage,Ursa","Pudge,Queen of Pain",Medusa,0,8451046634,1757251848
"Invoker,Venomancer,Earthshaker,Wraith King,Axe","Invoker,Venomancer,Earthshaker,Wraith King","Vengeful Spirit,Magnus,Faceless Void,Lion,Void Spirit","Vengeful Spirit,Magnus,Faceless Void,Lion",Axe,1,8451125932,1757254418
"Warlock,Dazzle,Axe,Luna,Wraith King","Warlock,Dazzle,Axe,Luna","Pudge,Witch Doctor,Venomancer,Windranger,Drow Ranger","Pudge,Witch Doctor,Venomancer,Windranger",Wraith King,1,8451208739,1757257159
"Tusk,Witch Doctor,Monkey King,Sand King,Dragon Knight",Tusk,"Tinker,Mars,Viper,Zeus,Legion Commander",,Witch Doctor,1,8451292135,1757260228
"Ogre Magi,Chaos Knight,Warlock,Wraith King,Lion","Ogre Magi,Chaos Knight,Warlock","Mirana,Io,Timbersaw,Slark,Shadow Fiend","Mirana,Io",Wraith King,1,8451411130,1757264882
"Jakiro,Techies,Wraith King,Juggernaut,Centaur Warrunner","Jakiro,Techies","Pudge,Lion,Sand King,Sniper,Slark,Medusa",Lion,Wraith King,1,8451482153,1757267923
"Lion,Sniper,Wraith King,Invoker,Medusa","Lion,Sniper,Wraith King,Invoker","Pudge,Skywrath Mage,Legion Commander,Sven,Kunkka","Pudge,Skywrath Mage,Legion Commander,Sven",Medusa,0,8451530326,1757270067
"Ancient Apparition,Zeus,Mars,Clinkz,Outworld Destroyer","Ancient Apparition,Zeus,Mars","Pudge,Hoodwink,Beastmaster,Shadow Shaman,Slark","Pudge,Hoodwink",Clinkz,1,8451589262,1757272823
"Zeus,Wraith King,Grimstroke,Lion,Hoodwink,Doom",Zeus,"Marci,Legion Commander,Ogre Magi,Nyx Assassin,Windranger",,Wraith King,1,8453029572,1757360793
"Abaddon,Lion,Lina,Oracle,Clinkz","Abaddon,Lion,Lina,Oracle","Pudge,Monkey King,Sniper,Crystal Maiden,Slardar,Alchemist","Monkey King,Sniper,Crystal Maiden",Clinkz,0,8454081581,1757432060
"Pudge,Witch Doctor,Queen of Pain,Warlock,Slark","Pudge,Witch Doctor,Queen of Pain","Mars,Sniper,Undying,Clinkz,Monkey King","Mars,Sniper",Warlock,0,8454151001,1757434834
"Silencer,Hoodwink,Razor,Phantom Assassin,Anti-Mage","Silencer,Hoodwink,Razor,Phantom Assassin","Pudge,Snapfire,Wraith King,Vengeful Spirit,Morphling","Pudge,Snapfire,Wraith King,Vengeful Spirit",Anti-Mage,1,8454225808,1757437870
"Pudge,Oracle,Sniper,Winter Wyvern,Medusa,Axe","Oracle,Sniper,Winter Wyvern","Lich,Silencer,Night Stalker,Huskar,Phantom Assassin","Lich,Silencer,Night Stalker,Huskar",Medusa,0,8454367234,1757443814
"Lich,Shadow Demon,Medusa,Earthshaker,Invoker",,"Pudge,Vengeful Spirit,Witch Doctor,Nature's Prophet,Warlock,Faceless Void,Anti-Mage",,Lich,1,8454423789,1757446394
"Sniper,Skywrath Mage,Troll Warlord,Juggernaut,Medusa","Sniper,Skywrath Mage,Troll Warlord,Juggernaut","Pudge,Mirana,Windranger,Rubick,Phantom Lancer","Pudge,Mirana,Windranger,Rubick",Medusa,0,8455501897,1757518764
"Ancient Apparition,Nyx Assassin,Legion Commander,Huskar,Kunkka,Medusa,Wraith King","Ancient Apparition,Nyx Assassin,Huskar,Kunkka","Invoker,Witch Doctor,Earthshaker,Lifestealer,Puck,Viper","Invoker,Witch Doctor,Lifestealer",Wraith King,1,8455577003,1757521578
"Invoker,Necrophos,Shadow Shaman,Witch Doctor,Wraith King","Invoker,Necrophos,Shadow Shaman,Witch Doctor","Treant Protector,Ogre Magi,Lion,Queen of Pain,Windranger","Treant Protector,Ogre Magi,Lion,Queen of Pain",Wraith King,1,8455848576,1757532978
